hanke;kortteli;tontti;asemakaava_lainvoimainen;osa_alue;pienalue;asuinkerrosala;muu_ala;asuntojen_maara;rakentamisvalmiusvuosi;aloitusvuosi;valmistumisvuosi;valmistumisaika;hallinta;hallintasuhde;rahoitusmuoto;hitas;talotyyppi;rakennuttaja;maanomistus;post_code;AAGR;AAGR_vaesto;peruskorko
2400;49072;25;29.6.2001 0:00;491 Yliskylä;4913;156;0.0;1;2001.0;2008;2009;8.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;840;0,038558118;0,009596514;4,75
2401;47019;8;4.5.2001 0:00;471 Kontula;4711;1750;250.0;20;2001.0;2003;2004;3.0;Välimuoto;Omistusasuntoja;Yhtiölainan korkotuki;Ei Hitas;Kerrostalo;RAK.TSTO POHJOLA;Yksityinen;940;0,031552956;0,00387585;3,25
2403;45320;10;1.12.2000 0:00;451 Vartioharju;4515;160;0.0;1;2001.0;2001;2001;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;950;0,040112264;0,001804418;5,25
2406;39211;17;29.12.2000 0:00;392 Tapanila;3923;150;0.0;1;2001.0;2001;2001;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;730;0,038910223;0,005681535;5,25
2407;44033;10;29.12.2000 0:00;440 Tammisalo;4400;163;0.0;1;2001.0;2004;2005;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;830;0,028244894;0,001208832;2,25
2408;23903;12;20.4.2001 0:00;231 Toukola;2310;300;0.0;3;2001.0;2006;2007;6.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Rivitalo;YKSITYISHENKILÖ(T);Kaupunki;560;0,060719974;0,025765827;2,5
2409;23903;13;20.4.2001 0:00;231 Toukola;2310;300;0.0;3;2001.0;2006;2007;6.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;560;0,060719974;0,025765827;2,5
2410;54050;3;18.1.2008 0:00;541 Keski-Vuosaari;5418;1755;0.0;26;2001.0;2009;2010;9.0;Välimuoto;Asumisoikeusasuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;TA-YHTIÖT;Yksityinen;960;0,038147447;0,008984244;5
2412;39329;26;26.1.2001 0:00;402 Tapulikaupunki;4021;192;0.0;1;2001.0;2002;2003;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;730;0,038910223;0,000457188;3,5
2413;39202;22;26.1.2001 0:00;403 Töyrynummi;4033;343;0.0;2;2001.0;2002;2003;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;740;0,029334153;-0,015701217;3,5
2414;39202;23;26.1.2001 0:00;403 Töyrynummi;4033;267;0.0;2;2001.0;2014;2015;14.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;740;0,029334153;-0,015701217;0,5
2419;45472;8;18.5.2002 0:00;451 Vartioharju;4512;143;0.0;1;2002.0;2002;2002;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;TUNTEMATON;Yksityinen;950;0,040112264;0,001804418;3,5
2426;39337;11;28.7.2000 0:00;402 Tapulikaupunki;4021;171;0.0;2;2000.0;2003;2004;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;730;0,038910223;0,000457188;3,25
2427;39337;15;28.7.2000 0:00;402 Tapulikaupunki;4021;533;0.0;5;2000.0;2001;2002;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;730;0,038910223;0,000457188;5,25
2428;39336;8;28.7.2000 0:00;402 Tapulikaupunki;4021;196;0.0;2;1999.0;1999;2000;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;730;0,038910223;0,000457188;0
2429;45028;15;20.11.2003 0:00;455 Marjaniemi;4550;211;0.0;1;1999.0;1999;2001;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;TUNTEMATON;Yksityinen;930;0,038189944;0,004621235;0
2430;33181;1;22.11.2002 0:00;331 Kannelmäki;3314;5150;0.0;85;2002.0;2003;2005;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;YIT;Yksityinen;420;0,038891351;0,000661297;3,25
2431;33182;1;22.11.2002 0:00;331 Kannelmäki;3314;2350;0.0;41;2002.0;2003;2005;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;YIT;Yksityinen;420;0,038891351;0,000661297;3,25
2437;33259;5;6.6.2003 0:00;333 Malminkartano;3334;8000;0.0;97;2003.0;2005;2006;3.0;ARA-vuokra;Vuokra-asuntoja;Valtion laina;Ei Hitas;Kerrostalo;ATT;Kaupunki;410;0,039769581;0,002067339;2,25
2438;38198;3;2.11.2001 0:00;381 Ylä-Malmi;3813;2630;0.0;64;2001.0;2002;2003;2.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;S-ASUNNOT OY;Yksityinen;700;0,033210111;-0,001442207;3,5
2439;38198;4;2.11.2001 0:00;381 Ylä-Malmi;3813;4570;0.0;85;2001.0;2002;2003;2.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;S-ASUNNOT OY;Yksityinen;700;0,033210111;-0,001442207;3,5
2440;49022;4;29.6.2001 0:00;491 Yliskylä;4915;1600;0.0;11;2001.0;2003;2004;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;TUNTEMATON;Yksityinen;840;0,038558118;0,009596514;3,25
2442;29014;3;24.5.2013 0:00;291 Etelä-Haaga;2915;2600;0.0;50;2012.0;2019;2021;9.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;ATT;Kaupunki;320;0,049761074;0,001374049;-0,25
2445;29012;2;24.5.2013 0:00;291 Etelä-Haaga;2912;2600;700.0;33;1998.0;2000;2001;3.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Kerrostalo;SKANSKA OY/KESKUSTAKEHITYS OY;Kaupunki;320;0,049761074;0,001374049;3,5
2450;45105;10;1.6.1977 0:00;454 Myllypuro;4542;170;0.0;2;1977.0;2004;2005;28.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;TUNTEMATON;Yksityinen;920;0,04036742;0,016449551;2,25
2451;40192;4;10.8.2001 0:00;403 Töyrynummi;4033;214;0.0;2;2001.0;2002;2005;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;730;0,038910223;-0,015701217;3,5
2452;39260;39;10.8.2001 0:00;403 Töyrynummi;4033;166;0.0;1;2001.0;2002;2003;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;730;0,038910223;-0,015701217;3,5
2454;37008;20;8.6.2001 0:00;370 Pukinmäki;3701;298;0.0;2;2001.0;2004;2008;7.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;720;0,033787176;-0,002191905;2,25
2455;37008;21;8.6.2001 0:00;370 Pukinmäki;3701;484;0.0;4;2001.0;2018;2019;18.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Yksityinen;720;0,033787176;-0,002191905;-0,25
2456;28169;5;10.4.1987 0:00;284 Patola;2841;2200;0.0;6;0.0;2015;2017;0.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;ATT;Kaupunki;620;0,043556985;0,004846156;0,25
2462;54029;2;25.1.1985 0:00;547 Rastila;5471;1010;0.0;12;2001.0;2002;2002;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;ETELÄ-SUOMEN YH-RAKENNUTTAJA;Yksityinen;980;0,041691154;0,022445473;3,5
2464;36030;2;27.6.2003 0:00;361 Viikinranta;3611;2355;0.0;29;2003.0;2003;2005;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;YIT;Yksityinen;560;0,060719974;0,085111154;3,25
2465;36030;3;27.6.2003 0:00;361 Viikinranta;3611;2355;0.0;25;2003.0;2004;2005;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;YIT;Yksityinen;560;0,060719974;0,085111154;2,25
2466;36030;4;27.6.2003 0:00;361 Viikinranta;3611;2355;0.0;29;2003.0;2004;2006;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;YIT;Yksityinen;560;0,060719974;0,085111154;2,25
2467;36030;5;27.6.2003 0:00;361 Viikinranta;3611;2300;100.0;34;2003.0;2006;2007;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;YIT;Yksityinen;560;0,060719974;0,085111154;2,5
2468;36030;6;27.6.2003 0:00;361 Viikinranta;3611;3600;0.0;54;2003.0;2008;2009;6.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;YIT;Yksityinen;560;0,060719974;0,085111154;4,75
2469;36030;7;27.6.2003 0:00;361 Viikinranta;3611;1750;0.0;23;2003.0;2006;2007;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;YIT;Yksityinen;560;0,060719974;0,085111154;2,5
2470;36030;9;27.6.2003 0:00;361 Viikinranta;3611;2560;849.0;29;2003.0;2005;2007;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;YIT;Yksityinen;560;0,060719974;0,085111154;2,25
2472;20007;18;18.7.2014 0:00;203 Jätkäsaari;2031;7800;400.0;98;2012.0;2016;2019;7.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;ATT;Kaupunki;180;0,057204279;0,092385068;0
2473;20007;17;7.8.2009 0:00;203 Jätkäsaari;2031;11350;850.0;206;2009.0;2011;2012;3.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;HOAS;Kaupunki;180;0,057204279;0,092385068;1,5
2476;34040;11;16.5.1997 0:00;342 Itä-Pakila;3422;117;90.0;1;1997.0;2001;2002;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;YKSITYISHENKILÖ(T);Kaupunki;680;0,038492909;0,00067423;5,25
2477;40159;2;10.8.2001 0:00;402 Tapulikaupunki;4022;240;0.0;2;2001.0;2005;2008;7.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;750;0,032959936;0,000457188;2,25
2478;40161;1;10.8.2001 0:00;402 Tapulikaupunki;4022;350;0.0;3;2001.0;2002;2003;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;750;0,032959936;0,000457188;3,5
2479;40162;12;10.8.2001 0:00;402 Tapulikaupunki;4022;217;0.0;2;2001.0;2001;2002;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;750;0,032959936;0,000457188;5,25
2481;39120;15;6.7.2001 0:00;391 Tapaninvainio;3914;125;0.0;1;2001.0;2002;2003;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;700;0,033210111;0,000421776;3,5
2482;47118;7;14.8.1979 0:00;472 Vesala;4721;290;0.0;2;2001.0;2007;2008;7.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;940;0,031552956;-0,00200217;3,75
2483;47118;16;14.8.1979 0:00;472 Vesala;4721;249;0.0;1;2001.0;2002;2007;6.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;MUU RAKENNUTTAJA;Kaupunki;940;0,031552956;-0,00200217;3,5
2484;40059;4;12.5.1975 0:00;402 Tapulikaupunki;4023;590;40.0;5;2001.0;2002;2003;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;OMATOIMINEN RAK.;Kaupunki;750;0,032959936;0,000457188;3,5
2485;38112;26;30.11.2001 0:00;381 Ylä-Malmi;3812;600;0.0;8;2002.0;2003;2003;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;TUNTEMATON;Yksityinen;700;0,033210111;-0,001442207;3,25
2486;41068;23;9.11.2001 0:00;411 Puistola;4112;319;0.0;2;2002.0;2002;2003;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;760;0,033337521;-0,001036182;3,5
2489;47266;3;26.11.2004 0:00;473 Mellunmäki;4733;2880;100.0;22;2007.0;2008;2010;3.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;ATT;Kaupunki;970;0,026411054;0,005881889;4,75
2492;47269;2;26.11.2004 0:00;473 Mellunmäki;4733;600;700.0;6;2007.0;2008;2009;2.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Rivitalo;ATT;Kaupunki;970;0,026411054;0,005881889;4,75
2493;47277;4;26.11.2004 0:00;473 Mellunmäki;4733;5050;0.0;53;2007.0;2010;2011;4.0;Välimuoto;Asumisoikeusasuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Rivitalo;ATT;Kaupunki;970;0,026411054;0,005881889;1,25
2495;28131;5;4.7.2014 0:00;284 Patola;2846;5300;0.0;75;0.0;2017;2019;0.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;ATT;Kaupunki;640;0,040286709;0,004846156;0
2496;28131;1;4.7.2014 0:00;284 Patola;2846;1350;0.0;20;0.0;2017;2018;0.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;ATT;Kaupunki;640;0,040286709;0,004846156;0
2497;28131;4;4.7.2014 0:00;284 Patola;2846;7500;0.0;101;0.0;2017;2019;0.0;Välimuoto;Asumisoikeusasuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;ATT;Kaupunki;640;0,040286709;0,004846156;0
2498;29129;6;24.5.2002 0:00;291 Etelä-Haaga;2913;5100;0.0;63;2006.0;2012;2013;7.0;Välimuoto;Asumisoikeusasuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;ATT;Kaupunki;320;0,049761074;0,001374049;2
2499;29129;7;8.6.2012 0:00;291 Etelä-Haaga;2913;4035;0.0;48;0.0;2015;2016;0.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Kerrostalo;ATT;Kaupunki;320;0,049761074;0,001374049;0,25
2500;29108;2;24.5.2002 0:00;293 Pohjois-Haaga;2934;700;300.0;11;2002.0;2008;2009;7.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Kerrostalo;YH-SUOMI OY;Kaupunki;400;0,04568376;0,00257033;4,75
2501;29108;3;24.5.2002 0:00;293 Pohjois-Haaga;2934;800;300.0;11;2002.0;2008;2009;7.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Kerrostalo;YH-SUOMI OY;Kaupunki;400;0,04568376;0,00257033;4,75
2502;29108;4;24.5.2002 0:00;293 Pohjois-Haaga;2934;4200;1950.0;79;2002.0;2008;2010;8.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Kerrostalo;YH-SUOMI OY;Kaupunki;400;0,04568376;0,00257033;4,75
2516;45470;9;23.11.2001 0:00;451 Vartioharju;4512;248;0.0;1;2001.0;2003;2004;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;950;0,040112264;0,001804418;3,25
2517;45457;17;23.11.2001 0:00;451 Vartioharju;4512;162;0.0;1;2001.0;2002;2003;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;910;0,040798319;0,001804418;3,5
2518;47018;13;28.6.2002 0:00;471 Kontula;4711;1600;100.0;24;2002.0;2005;2006;4.0;Välimuoto;Asumisoikeusasuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;ATT;Kaupunki (Yksityiseltä);940;0,031552956;0,00387585;2,25
2519;47019;9;28.6.2002 0:00;471 Kontula;4711;1600;100.0;24;2002.0;2005;2006;4.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;ATT;Kaupunki;940;0,031552956;0,00387585;2,25
2520;47024;14;28.6.2002 0:00;471 Kontula;4711;1601;0.0;24;2002.0;2005;2006;4.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;ATT;Kaupunki;940;0,031552956;0,00387585;2,25
2522;40165;16;21.12.2001 0:00;402 Tapulikaupunki;4022;156;0.0;1;2001.0;2000;2001;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;750;0,032959936;0,000457188;3,5
2523;24975;1;6.8.2004 0:00;240 Kumpula;2402;1300;0.0;21;2002.0;2004;2005;3.0;Välimuoto;Omistusasuntoja;Yhtiölainan korkotuki;Hitas;Kerrostalo;ATT;Kaupunki;560;0,060719974;0,006647867;2,25
2524;24976;1;6.8.2004 0:00;240 Kumpula;2402;3400;0.0;46;2002.0;2004;2005;3.0;ARA-vuokra;Vuokra-asuntoja;Valtion laina;Ei Hitas;Kerrostalo;ATT;Kaupunki;560;0,060719974;0,006647867;2,25
2525;24977;2;6.8.2004 0:00;240 Kumpula;2402;2750;0.0;74;2002.0;2006;2007;5.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;HOAS;Kaupunki;560;0,060719974;0,006647867;2,5
2526;28209;2;25.10.2002 0:00;282 Maunula;2821;180;0.0;2;2004.0;2017;2017;13.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki myy / myynyt;630;0,043014054;-0,000813623;0
2527;28209;3;25.10.2002 0:00;282 Maunula;2821;180;0.0;1;2004.0;2005;2006;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki myy / myynyt;630;0,043014054;-0,000813623;2,25
2528;28210;1;25.10.2002 0:00;282 Maunula;2821;180;0.0;1;2004.0;2005;2007;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki myy / myynyt;630;0,043014054;-0,000813623;2,25
2529;28210;2;25.10.2002 0:00;282 Maunula;2821;192;0.0;1;2004.0;2010;2011;7.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki myy / myynyt;630;0,043014054;-0,000813623;1,25
2530;28210;3;25.10.2002 0:00;282 Maunula;2821;180;0.0;1;2004.0;2009;2009;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki myy / myynyt;630;0,043014054;-0,000813623;5
2531;28210;4;25.10.2002 0:00;282 Maunula;2821;180;0.0;1;2004.0;2005;2006;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki myy / myynyt;630;0,043014054;-0,000813623;2,25
2532;28210;5;25.10.2002 0:00;282 Maunula;2821;180;0.0;1;2004.0;2007;2008;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki myy / myynyt;630;0,043014054;-0,000813623;3,75
2534;28210;6;25.10.2002 0:00;282 Maunula;2821;180;0.0;2;2004.0;2007;2008;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki myy / myynyt;630;0,043014054;-0,000813623;3,75
2535;28210;7;25.10.2002 0:00;282 Maunula;2821;210;0.0;1;2004.0;2005;2007;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki myy / myynyt;630;0,043014054;-0,000813623;2,25
2536;28210;8;25.10.2002 0:00;282 Maunula;2821;360;0.0;2;2004.0;2006;2007;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;OMATOIMINEN RAK.;Kaupunki myy / myynyt;630;0,043014054;-0,000813623;2,5
2537;38189;7;3.5.2003 0:00;381 Ylä-Malmi;3813;4300;0.0;87;2002.0;2002;2003;1.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;NUORISOSÄÄTIÖ;Yksityinen;700;0,033210111;-0,001442207;3,5
2538;38165;21;22.3.2002 0:00;382 Ala-Malmi;3823;140;0.0;1;2002.0;2015;2016;14.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;700;0,033210111;0,014907912;0,25
2539;20027;3;26.11.2004 0:00;203 Jätkäsaari;2032;9150;800.0;104;2010.0;2012;2014;4.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;ATT;Kaupunki;180;0,057204279;0,092385068;2
2540;20029;10;26.11.2004 0:00;203 Jätkäsaari;2032;5700;600.0;54;2010.0;2013;2014;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;LEMMINKÄINEN TALO;Kaupunki myy / myynyt;180;0,057204279;0,092385068;0,75
2541;20029;13;26.11.2004 0:00;203 Jätkäsaari;2032;5700;600.0;51;2010.0;2011;2012;2.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Kerrostalo;LEMMINKÄINEN TALO;Kaupunki;180;0,057204279;0,092385068;1,5
2542;20029;12;26.11.2004 0:00;203 Jätkäsaari;2032;4100;400.0;40;2010.0;2011;2013;3.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Kerrostalo;LEMMINKÄINEN TALO;Kaupunki;180;0,057204279;0,092385068;1,5
2543;20029;15;26.11.2004 0:00;203 Jätkäsaari;2032;8800;700.0;120;2010.0;2010;2012;2.0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;LEMMINKÄINEN TALO;Kaupunki myy / myynyt;180;0,057204279;0,092385068;1,25
2551;47004;2;2.8.2002 0:00;471 Kontula;4712;3000;50.0;44;2002.0;2003;2004;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;K.OY NAAPURINTIE/SKANSKA OY;Kaupunki;940;0,031552956;0,00387585;3,25
2552;39355;20;22.3.2002 0:00;403 Töyrynummi;4033;180;0.0;1;2002.0;2002;2002;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;740;0,029334153;-0,015701217;3,5
2553;39356;18;22.3.2002 0:00;403 Töyrynummi;4033;180;0.0;1;2002.0;2005;2005;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;740;0,029334153;-0,015701217;2,25
2557;28024;12;5.4.2002 0:00;285 Veräjämäki;2852;200;0.0;1;2002.0;2004;2006;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;650;0,037302577;0,001841133;2,25
2559;28060;7;19.4.2002 0:00;284 Patola;2842;585;0.0;5;2002.0;2004;2005;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;TUNTEMATON;Yksityinen;640;0,040286709;0,004846156;2,25
2560;28301;14;12.4.2002 0:00;284 Patola;2845;293;0.0;2;2002.0;2020;2020;18.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;640;0,040286709;0,004846156;-0,25
2561;28301;3;12.4.2002 0:00;284 Patola;2845;525;0.0;3;2002.0;2003;2003;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;640;0,040286709;0,004846156;3,25
2562;47170;2;2.4.1987 0:00;471 Kontula;4713;550;0.0;6;2001.0;2002;2003;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;TUNTEMATON;Yksityinen;940;0,031552956;0,00387585;3,5
2563;29141;1;4.4.2008 0:00;293 Pohjois-Haaga;2933;1500;0.0;13;2008.0;2012;2013;5.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Rivitalo;CONECT OY;Kaupunki;400;0,04568376;0,00257033;2
2564;29145;22;4.4.2008 0:00;293 Pohjois-Haaga;2933;3700;800.0;63;2012.0;2014;2015;3.0;Välimuoto;Asumisoikeusasuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;ATT;Kaupunki;400;0,04568376;0,00257033;0,5
2569;2017;3;26.3.2004 0:00;020 Kluuvi;201;3900;0.0;40;2004.0;2011;2012;8.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;Eläkevakuutusyhtiö Etera;Valtio;100;0,056069056;0,018576974;1,5
2570;2018;3;26.3.2004 0:00;020 Kluuvi;201;2500;0.0;30;2004.0;2012;2014;10.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;Eläkevakuutusyhtiö Etera;Valtio;100;0,056069056;0,018576974;2
2571;40028;2;24.2.1978 0:00;401 Siltamäki;4012;2500;0.0;7;2002.0;2007;2008;6.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Kerrostalo;K.OY NIEMIKOTITALOT/YH-SUOMI;Kaupunki;740;0,029334153;0,007594907;3,75
