hanke;kortteli;tontti;asemakaava_lainvoimainen;osa_alue;pienalue;asuinkerrosala;muu_ala;asuntojen_maara;rakentamisvalmiusvuosi;aloitusvuosi;valmistumisvuosi;valmistumisaika;hallinta;hallintasuhde;rahoitusmuoto;hitas;talotyyppi;rakennuttaja;maanomistus;post_code;AAGR;AAGR_vaesto;peruskorko
391;5115;14;1.11.1977 0:00;050 Punavuori;501;1019;0.0;18;0.0;2018;2019;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;AS.OY RAKENNUTTAA;Yksityinen;150;0,05670496;0,005874931;-0,25
398;25827;2;22.5.2015 0:00;250 Käpylä;2505;4800;175.0;57;0.0;2015;2017;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;LEMMINKÄINEN TALO;Yksityinen;610;0,05362619;-3,53E-05;0,25
410;40073;15;10.2.1989 0:00;402 Tapulikaupunki;4023;484;0.0;4;1980.0;1998;2002;22.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;REOR OY;Kaupunki;750;0,032959936;0,000457188;0
423;34010;15;3.2.1976 0:00;342 Itä-Pakila;3421;554;0.0;5;0.0;2022;2022;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;MUU RAKENNUTTAJA;Yksityinen;680;0,038492909;0,00067423;-0,5
434;30008;22;3.7.2015 0:00;301 Vanha Munkkiniemi;3014;770;0.0;2;0.0;2018;2020;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;SUOMEN KRISTIYHTEISÖ RY;Yksityinen;330;0,047383142;0,00509022;-0,25
459;49152;5;9.2.1979 0:00;492 Jollas;4921;184;0.0;1;1980.0;2001;2002;22.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Pientalo;OMATOIMINEN RAK.;Kaupunki;850;0,049523782;0,003501452;5,25
473;12376;7;15.11.1985 0:00;122 Alppila;1221;4065;0.0;59;0.0;2014;2015;0.0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;VVO KODIT OY;Yksityinen;510;0,059177491;0,000559025;0,5
480;8013;2;14.7.1977 0:00;080 Katajanokka;802;3950;0.0;66;0.0;2018;2020;0.0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;SATO OYJ;Yksityinen;160;0,046561637;0,008786486;-0,25
494;7104;19;16.1.1987 0:00;070 Ullanlinna;701;7275;800.0;58;0.0;2016;2019;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;ROOMY OY;Valtio;130;0,058837068;0,002428689;0
515;54199;1;28.4.2000 0:00;544 Meri-Rastila;5442;813;0.0;8;2000.0;2004;2005;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;YIT;Kaupunki myy / myynyt;980;0,041691154;-0,000817541;2,25
539;20027;2;26.11.2004 0:00;203 Jätkäsaari;2032;8100;800.0;86;2010.0;2012;2013;3.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Kerrostalo;ATT;Kaupunki;180;0,057204279;0,092385068;2
540;4001;10;19.5.1875;040 Kamppi;401;1985;0.0;40;0.0;2021;2023;0.0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;LUMO-KODIT;Yksityinen;100;0,056069056;0,006663735;-0,5
541;20029;6;26.11.2004 0:00;203 Jätkäsaari;2032;5405;0.0;54;2010.0;2015;2016;6.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;LEMMINKÄINEN TALO;Kaupunki myy / myynyt;180;0,057204279;0,092385068;0,25
549;20029;7;26.11.2004 0:00;203 Jätkäsaari;2032;5415;0.0;51;2010.0;2015;2016;6.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;LEMMINKÄINEN TALO;Kaupunki myy / myynyt;180;0,057204279;0,092385068;0,25
575;38246;5;26.2.1999 0:00;383 Pihlajamäki;3832;1000;0.0;13;1999.0;2000;2001;2.0;Välimuoto;Asumisoikeusasuntoja;Valtion laina;Ei Hitas;Kerrostalo;ETELÄ-SUOMEN YH-RAKENNUTTAJA;Kaupunki;710;0,035720116;-0,003637274;3,5
582;39092;25;4.12.1998 0:00;391 Tapaninvainio;3912;2360;320.0;29;1997.0;2003;2004;7.0;Välimuoto;Asumisoikeusasuntoja;Valtion laina;Ei Hitas;Rivitalo;Sami-Asumisoikeus Oy;Kaupunki;780;0,031688522;0,000421776;3,25
589;20122;2;3.8.2007 0:00;204 Hernesaari;2043;5485;542.0;56;2007.0;2010;2012;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;REALINVEST OY;Yksityinen;150;0,05670496;0,018958822;1,25
607;45270;30;22.10.2004 0:00;451 Vartioharju;4511;379;0.0;3;1992.0;2005;2006;14.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Rivitalo;MUU RAKENNUTTAJA;Yksityinen;950;0,040112264;0,001804418;2,25
611;3058;17;27.8.1980 0:00;030 Kaartinkaupunki;302;645;0.0;4;0.0;2015;2019;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;AS.OY RAKENNUTTAA;Yksityinen;130;0,058837068;0,00401292;0,25
617;4077;19;5.11.1982 0:00;040 Kamppi;407;2750;0.0;32;0.0;2015;2016;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;TUNTEMATON;Yksityinen;180;0,057204279;0,006663735;0,25
618;49203;4;17.1.1997 0:00;492 Jollas;4921;2100;0.0;11;1992.0;2001;2002;10.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ok/Paritalo;ETELÄ-SUOMEN SATO OY;Yksityinen;850;0,049523782;0,003501452;5,25
619;28034;1;5.10.1953 0:00;285 Veräjämäki;2852;6963;0.0;85;0.0;2014;2015;0.0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;ESPERI CARE;Yksityinen;650;0,037302577;0,001841133;0,5
625;43258;4;28.7.1995 0:00;434 Herttoniemenranta;4341;8100;1120.0;91;1997.0;1998;2000;3.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Kerrostalo;ASUNTOSÄÄTIÖ;Kaupunki;810;0,056949677;0,016736321;0
626;5094;14;5.2.2021 0:00;050 Punavuori;502;4490;1140.0;36;0.0;2021;2023;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Kerrostalo;MIKJU OY;Yksityinen;120;0,057234873;0,005874931;-0,5
