hanke;kortteli;tontti;asemakaava_lainvoimainen;osa_alue;pienalue;asuinkerrosala;muu_ala;asuntojen_maara;rakentamisvalmiusvuosi;aloitusvuosi;valmistumisvuosi;valmistumisaika;hallinta;hallintasuhde;rahoitusmuoto;hitas;erityisryhmä;talotyyppi;rakennuttaja;maanomistus;post_code;AAGR;AAGR_vaesto;peruskorko
3869;45571;4;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;2;2008.0;2012;2013;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;2
3870;45571;5;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2012;2013;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;2
3871;45571;6;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2012;2013;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;2
3872;45571;7;2007-11-02 00:00:00;454 Myllypuro;4545;200;0.0;1;2008.0;2012;2013;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;2
3875;45572;1;2007-11-02 00:00:00;454 Myllypuro;4545;3200;0.0;37;2008.0;2017;2019;11.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hintakontrolloitu;Ei erityisryhmää;Pientalo;ATT;Kaupunki;920;4,03674203;1,644955127;0
3877;45573;2;2007-11-02 00:00:00;454 Myllypuro;4545;250;0.0;2;2008.0;2013;2014;6.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;0,75
3878;45573;3;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2015;2015;7.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;0,25
3879;45573;4;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2014;2015;7.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;0,5
3880;45573;5;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2015;2016;8.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;0,25
3881;45573;6;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2017;2018;10.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;0
3882;45573;7;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2016;2018;10.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;0
3884;45573;9;2007-11-02 00:00:00;454 Myllypuro;4545;175;0.0;1;2008.0;2015;2016;8.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;0,25
3885;45573;10;2007-11-02 00:00:00;454 Myllypuro;4545;175;0.0;1;2008.0;2014;2015;7.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;0,5
3886;45573;11;2007-11-02 00:00:00;454 Myllypuro;4545;1850;0.0;16;2008.0;2022;2023;15.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;JEALHA OY;Kaupunki myy / myynyt;920;4,03674203;1,644955127;-0,5
3887;45573;12;2007-11-02 00:00:00;454 Myllypuro;4545;1750;0.0;17;2008.0;2020;2021;13.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;JEALHA OY;Kaupunki myy / myynyt;920;4,03674203;1,644955127;-0,25
3888;45573;13;2007-11-02 00:00:00;454 Myllypuro;4545;2150;0.0;21;2008.0;2018;2020;12.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;JEALHA OY;Kaupunki myy / myynyt;920;4,03674203;1,644955127;-0,25
3889;45573;14;2007-11-02 00:00:00;454 Myllypuro;4545;2350;0.0;27;2008.0;2017;2018;10.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OPTIMIKODIT OY;Kaupunki myy / myynyt;920;4,03674203;1,644955127;0
3890;45573;15;2007-11-02 00:00:00;454 Myllypuro;4545;350;0;3;2008.0;2018;2020;12.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;JEALHA OY;Kaupunki myy / myynyt;920;4,03674203;1,644955127;-0,25
3891;45574;1;2007-11-02 00:00:00;454 Myllypuro;4545;250;0.0;1;2008.0;2012;2013;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;2
3892;45574;2;2007-11-02 00:00:00;454 Myllypuro;4545;200;0.0;1;2008.0;2012;2013;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;2
3893;45574;3;2007-11-02 00:00:00;454 Myllypuro;4545;200;0.0;1;2008.0;2012;2013;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;2
3894;45574;4;2007-11-02 00:00:00;454 Myllypuro;4545;200;0.0;1;2008.0;2012;2012;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;2
3895;45574;5;2007-11-02 00:00:00;454 Myllypuro;4545;250;0.0;1;2008.0;2013;2015;7.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;0,75
3896;45565;4;2007-11-02 00:00:00;454 Myllypuro;4545;700;0.0;6;2008.0;2011;2012;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;NOTOCOM OY;Kaupunki;920;4,03674203;1,644955127;1,5
3897;45566;1;2007-11-02 00:00:00;454 Myllypuro;4545;450;0.0;3;2008.0;2011;2012;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;NOTOCOM OY;Kaupunki;920;4,03674203;1,644955127;1,5
3899;45568;1;2007-11-02 00:00:00;454 Myllypuro;4545;350;0.0;4;2008.0;2011;2012;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;NOTOCOM OY;Kaupunki;920;4,03674203;1,644955127;1,5
3900;45568;2;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2012;2012;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;2
3901;45568;3;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2011;2012;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;1,5
3902;45568;4;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2011;2012;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;1,5
3903;45568;5;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2012;2012;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;2
3904;45568;6;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2011;2012;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;1,5
3905;45568;7;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2012;2014;6.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;2
3906;45568;8;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2012;2014;6.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;2
3907;45568;9;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2011;2012;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;1,5
3908;45568;10;2007-11-02 00:00:00;454 Myllypuro;4545;2150;0.0;21;2008.0;2012;2013;5.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Ei erityisryhmää;Pientalo;ATT;Kaupunki;920;4,03674203;1,644955127;2
3909;45568;11;2007-11-02 00:00:00;454 Myllypuro;4545;2300;0.0;18;2008.0;2012;2013;5.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Ei erityisryhmää;Pientalo;ATT;Kaupunki;920;4,03674203;1,644955127;2
3910;45568;14;2007-11-02 00:00:00;454 Myllypuro;4545;5410;0.0;60;2008.0;2015;2016;8.0;Välimuoto;Asumisoikeusasuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Ei erityisryhmää;Pientalo;ATT;Kaupunki;920;4,03674203;1,644955127;0,25
3911;45568;15;2007-11-02 00:00:00;454 Myllypuro;4545;2640;0.0;33;2008.0;2015;2016;8.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Ei erityisryhmää;Pientalo;ATT;Kaupunki;920;4,03674203;1,644955127;0,25
3912;45569;1;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2011;2012;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;1,5
3913;45569;2;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2013;2014;6.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;0,75
3914;45569;3;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2011;2013;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;1,5
3915;45569;4;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2012;2013;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;2
3916;45569;5;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2011;2012;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;1,5
3917;45569;6;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2011;2012;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;1,5
3918;45569;7;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2011;2011;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;1,5
3919;45569;8;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2011;2012;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;1,5
3920;45569;9;2007-11-02 00:00:00;454 Myllypuro;4545;150;0.0;1;2008.0;2011;2012;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;920;4,03674203;1,644955127;1,5
3921;45569;15;2007-11-02 00:00:00;454 Myllypuro;4545;3100;0.0;33;2008.0;2011;2012;4.0;Välimuoto;Asumisoikeusasuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Ei erityisryhmää;Pientalo;ATT;Kaupunki;920;4,03674203;1,644955127;1,5
3922;45569;16;2007-11-02 00:00:00;454 Myllypuro;4545;4400;0.0;52;2008.0;2011;2012;4.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Ei erityisryhmää;Pientalo;ATT;Kaupunki;920;4,03674203;1,644955127;1,5
3932;49075;13;2012-05-25 00:00:00;491 Yliskylä;4917;3900;0.0;50;2014.0;2014;2016;2.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Ei erityisryhmää;Kerrostalo;YIT;Kaupunki;870;3,755034666;0,95965144;0,5
3933;49075;6;2012-05-25 00:00:00;491 Yliskylä;4917;4800;0.0;61;2014.0;2018;2019;5.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Ei erityisryhmää;Kerrostalo;YIT;Kaupunki;870;3,755034666;0,95965144;-0,25
3935;49048;1;2012-05-25 00:00:00;491 Yliskylä;4917;3300;0.0;60;2014.0;2014;2015;1.0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;YIT;Kaupunki myy / myynyt;870;3,755034666;0,95965144;0,5
3936;49048;3;2012-05-25 00:00:00;491 Yliskylä;4917;3700;0.0;67;2014.0;2015;2016;2.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Ei erityisryhmää;Kerrostalo;RAKENNUSKARTIO OY;Kaupunki;870;3,755034666;0,95965144;0,25
3937;49048;4;2012-05-25 00:00:00;491 Yliskylä;4917;5400;0.0;81;2014.0;2017;2018;4.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Ei erityisryhmää;Kerrostalo;ATT;Kaupunki;870;3,755034666;0,95965144;0
3938;49090;1;2012-05-25 00:00:00;491 Yliskylä;4917;4000;0.0;43;2014.0;2020;2021;7.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;BONAVA;Kaupunki myy / myynyt;870;3,755034666;0,95965144;-0,25
3940;49075;7;2012-05-25 00:00:00;491 Yliskylä;4917;4200;0.0;75;2014.0;2015;2016;2.0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;MERIMIESELÄKEKASSA;Kaupunki;870;3,755034666;0,95965144;0,25
3941;49075;8;2012-05-25 00:00:00;491 Yliskylä;4917;4900;0.0;94;2014.0;2018;2019;5.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Ei erityisryhmää;Kerrostalo;Y-SÄÄTIÖ;Kaupunki;870;3,755034666;0,95965144;-0,25
3942;49075;11;2012-05-25 00:00:00;491 Yliskylä;4917;4100;0.0;95;2014.0;2015;2016;2.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Nuoriso;Kerrostalo;ALKUASUNNOT;Kaupunki;870;3,755034666;0,95965144;0,25
3943;49075;10;2012-05-25 00:00:00;491 Yliskylä;4917;3200;0.0;56;2014.0;2017;2019;5.0;Välimuoto;Asumisoikeusasuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Ei erityisryhmää;Kerrostalo;ASUNTOSÄÄTIÖ;Kaupunki;870;3,755034666;0,95965144;0
3977;22392;3;2012-11-09 00:00:00;220 Vallila;2201;3820;0.0;45;2014.0;2015;2017;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;YIT;Valtio;510;5,917749131;1,755663545;0,25
3978;22392;4;2012-11-09 00:00:00;220 Vallila;2201;5070;360.0;59;2014.0;2015;2016;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;YIT;Valtio;510;5,917749131;1,755663545;0,25
3980;22394;1;2012-11-09 00:00:00;220 Vallila;2201;1860;100.0;27;2016.0;2017;2018;2.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;YIT;Valtio;510;5,917749131;1,755663545;0
4005;33274;3;2020-01-02 00:00:00;333 Malminkartano;3335;1055;0;0;0;2021;2022;0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Vammaiset;Rivitalo;RINNEKOTI-SÄÄTIÖ;Kaupunki;410;3,976958144;0,206733933;-0,5
4061;39326;10;2005-03-18 00:00:00;402 Tapulikaupunki;4021;139;0.0;1;2005.0;2007;2008;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;730;3,891022323;0,045718833;3,75
4062;38142;9;1964-04-21 00:00:00;385 Malmin lentokenttä;3853;160;0.0;1;2005.0;2010;2011;6.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;700;3,321011103;4,22900964;1,25
4063;40202;18;2008-05-23 00:00:00;403 Töyrynummi;4034;107;0.0;1;2005.0;2007;2008;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;740;2,93341527;-1,570121738;3,75
4064;41158;28;1985-08-09 00:00:00;412 Heikinlaakso;4120;190;0.0;1;2005.0;2007;2008;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;760;3,333752072;-0,175771086;3,75
4065;41158;29;1985-08-09 00:00:00;412 Heikinlaakso;4120;190;0.0;1;2005.0;2008;2009;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;760;3,333752072;-0,175771086;4,75
4066;23908;6;2001-04-20 00:00:00;231 Toukola;2310;250;0.0;2;2005.0;2006;2008;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;560;6,071997415;2,576582677;2,5
4067;36003;12;1974-04-11 00:00:00;361 Viikinranta;3611;664;0.0;8;2005.0;2005;2006;1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;RAKENNUSKARTIO OY;Kaupunki;560;6,071997415;8,511115416;2,25
4068;40100;6;2008-03-14 00:00:00;402 Tapulikaupunki;4024;2100;0.0;25;2005.0;2011;2012;7.0;Välimuoto;Asumisoikeusasuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Ei erityisryhmää;Kerrostalo;ATT;Kaupunki;750;3,295993573;0,045718833;1,5
4069;45048;2;1975-07-22 00:00:00;457 Itäkeskus;4572;870;0.0;11;2004.0;2007;2008;4.0;ARA-vuokra;Vuokra-asuntoja;Valtion laina;Ei Hitas;Ei erityisryhmää;Kerrostalo;PUOTILAN KIINTEISTÖT OY;Kaupunki;930;3,818994402;-0,467815261;3,75
4070;41129;18;2015-12-18 00:00:00;412 Heikinlaakso;4120;123;0;1;0;2018;2018;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;TUNTEMATON;Yksityinen;760;3,333752072;-0,175771086;-0,25
4071;41129;19;2015-12-18 00:00:00;412 Heikinlaakso;4120;125;0;1;0;2018;2018;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;TUNTEMATON;Yksityinen;760;3,333752072;-0,175771086;-0,25
4072;14481;35;2007-06-08 00:00:00;140 Taka-Töölö;1405;5000;1500.0;79;2006.0;2011;2012;6.0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Opiskelijat;Kerrostalo;K.OY HGIN POHJ. HESPERIANKATU;Kaupunki;260;5,273547066;0,234469412;1,5
4073;14481;34;2007-06-08 00:00:00;140 Taka-Töölö;1405;4000;600.0;99;2006.0;2009;2010;4.0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Opiskelijat;Kerrostalo;K.OY HGIN POHJ. HESPERIANKATU;Kaupunki;260;5,273547066;0,234469412;5
4075;41209;16;1986-06-13 00:00:00;414 Jakomäki;4141;233;0.0;2;2005.0;2009;2013;8.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;770;3,274964466;-0,345262404;5
4076;40078;17;1975-05-12 00:00:00;402 Tapulikaupunki;4023;682;0.0;12;2005.0;2006;2008;3.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Vammaiset;Rivitalo;ASPA JA KEH.VAMM. PALV.SÄÄTIÖ;Kaupunki;750;3,295993573;0,045718833;2,5
4081;45085;6;2006-11-10 00:00:00;453 Puotinharju;4534;132;0.0;1;2005.0;2015;2016;11.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;900;3,598053331;0,485355358;0,25
4082;45086;19;2006-11-10 00:00:00;453 Puotinharju;4534;144;0.0;1;2005.0;2009;2010;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;900;3,598053331;0,485355358;5
4083;45086;21;2006-11-10 00:00:00;453 Puotinharju;4534;162;0.0;1;2005.0;2016;2017;12.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;900;3,598053331;0,485355358;0
4084;45086;22;2006-11-10 00:00:00;453 Puotinharju;4534;125;0.0;1;2005.0;2018;2019;14.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;900;3,598053331;0,485355358;-0,25
4085;45087;9;2006-11-10 00:00:00;453 Puotinharju;4534;164;0.0;1;2005.0;2009;2011;6.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Yksityinen;900;3,598053331;0,485355358;5
4102;47291;4;2009-08-07 00:00:00;471 Kontula;4713;2700;0.0;27;2013.0;2016;2017;4.0;ARA-vuokra;Vuokra-asuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Ei erityisryhmää;Rivitalo;ATT;Kaupunki;920;4,03674203;0,387584974;0
4103;47291;3;2009-08-07 00:00:00;471 Kontula;4713;1250;0.0;16;2013.0;2022;2023;10.0;Välimuoto;Asumisoikeusasuntoja;Pitkä korkotuki (40 v.);Ei Hitas;Ei erityisryhmää;Rivitalo;ATT;Kaupunki;920;4,03674203;0,387584974;-0,5
4108;40186;4;2005-08-05 00:00:00;402 Tapulikaupunki;4021;210;0.0;1;2006.0;2005;2006;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;730;3,891022323;0,045718833;2,25
4110;40187;38;2005-08-05 00:00:00;402 Tapulikaupunki;4021;166;0.0;1;2006.0;2006;2009;3.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;730;3,891022323;0,045718833;2,5
4115;40187;19;2005-08-05 00:00:00;402 Tapulikaupunki;4021;173;0.0;1;2006.0;2008;2010;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;730;3,891022323;0,045718833;4,75
4119;39203;9;2005-06-03 00:00:00;403 Töyrynummi;4033;162;0.0;1;2006.0;2006;2006;0.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;740;2,93341527;-1,570121738;2,5
4120;39203;10;2005-06-03 00:00:00;403 Töyrynummi;4033;157;0.0;1;2006.0;2005;2005;-1.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;740;2,93341527;-1,570121738;2,25
4121;32001;7;2006-03-17 00:00:00;320 Konala;3201;137;0.0;1;2006.0;2009;2010;4.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;390;3,996363534;1,657450466;5
4122;32001;15;2006-03-17 00:00:00;320 Konala;3201;159;0.0;1;2005.0;2011;2013;8.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;Pohjolan Design-Talo Oy;Kaupunki;390;3,996363534;1,657450466;1,5
