hanke;kortteli;tontti;asemakaava_lainvoimainen;osa_alue;pienalue;asuinkerrosala;muu_ala;asuntojen_maara;rakentamisvalmiusvuosi;aloitusvuosi;valmistumisvuosi;valmistumisaika;hallinta;hallintasuhde;rahoitusmuoto;hitas;erityisryhmä;talotyyppi;rakennuttaja;maanomistus;post_code;AAGR;AAGR_vaesto;peruskorko
374;34100;15;1981-02-19 00:00:00;341 Länsi-Pakila;3411;513;0.0;3;1980.0;1999;2000;20.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;TUNTEMATON;Yksityinen;660;3,722342878;0,398446727;0
375;38317;4;2013-07-12 00:00:00;383 Pihlajamäki;3831;4100;0.0;51;2014.0;2022;2023;9.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;VRP ETELÄ-SUOMI OY;Kaupunki;710;3,572011567;-0,363727395;-0,5
385;30080;6;2004-04-23 00:00:00;302 Kuusisaari;3020;825;0.0;6;1980.0;2005;2006;26.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;TUNTEMATON;Yksityinen;340;3,264218076;1,316061735;2,25
389;4072;2;2013-06-07 00:00:00;040 Kamppi;406;2575;0;40;0;2015;2016;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;RAKENNUSLIIKE J. RAJALA OY;Yksityinen;180;5,720427935;0,666373535;0,25
391;5115;14;1977-11-01 00:00:00;050 Punavuori;501;1019;0;18;0;2018;2019;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;AS.OY RAKENNUTTAA;Yksityinen;150;5,670495975;0,587493052;-0,25
398;25827;2;2015-05-22 00:00:00;250 Käpylä;2505;4800;175.0;57;0;2015;2017;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;LEMMINKÄINEN TALO;Yksityinen;610;5,362618954;-0,00353266;0,25
410;40073;15;1989-02-10 00:00:00;402 Tapulikaupunki;4023;484;0.0;4;1980.0;1998;2002;22.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;REOR OY;Kaupunki;750;3,295993573;0,045718833;0
423;34010;15;1976-02-03 00:00:00;342 Itä-Pakila;3421;554;0.0;5;0;2022;2022;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;MUU RAKENNUTTAJA;Yksityinen;680;3,849290882;0,067423044;-0,5
434;30008;22;2015-07-03 00:00:00;301 Vanha Munkkiniemi;3014;770;0;2;0;2018;2020;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;SUOMEN KRISTIYHTEISÖ RY;Yksityinen;330;4,738314156;0,509022048;-0,25
459;49152;5;1979-02-09 00:00:00;492 Jollas;4921;184;0.0;1;1980.0;2001;2002;22.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;OMATOIMINEN RAK.;Kaupunki;850;4,952378241;0,350145248;5,25
